EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1920 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0,0,0,0,0,12/31/1920 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1989 0:00,"Prairie Provinces, 1989. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Newfoundland,12/9/1990 0:00,"Newfoundland, December 9, 1990. Heavy rain caused this damaging flood.  Up to 100 millemetres of rain fell on the area, forcing the closure of highways, flooding homes and damaging bridges.",0,0,0,2327777,178146.2,12/9/1990 0:00,1029958,1297819,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1990 0:00,"Prairie Provinces, 1990. Cereal crop drought occurred in parts of the Prairies.",0,0,0,581891545,44532516.2,1/1/1990 0:00,,,204155713,,377735832,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1991 0:00,"Prairie Provinces, 1991. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,146557019,10620073.8,1/1/1991 0:00,,,115360,,146441659,,,0,0
Incident,Technology,Transportation accident,Air,Saudi Arabia,7/11/1991 0:00,"Saudi Arabia, July 11, 1991. Nationair DC-8 crashed in Saudi Arabia, killing 261 people.",261,0,0,0,0,7/11/1991 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Maritime Provinces,10/25/1991 0:00,"Maritime Provinces, especially Nova Scotia, October 25 - November 3, 1991. The ""Halloween Storm"" of 1991, was produced by two hurricanes: ""Grace"" and an unnamed storm over the north Atlantic; on the Scotian slope the highest wave in the world ever recorded by an instrument was measured as 30.7 metres.",0,0,0,0,0,11/3/1991 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1992 0:00,"Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.",0,0,0,580597523,41471251.6,1/1/1992 0:00,,,135289,,580462234,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Maritime Provinces,2/1/1992 0:00,"Maritime Provinces, February 1-4, 1992.  A 110-hour-long blizzard with gusts up to 140 km/h brought record snowfall of 163 cm to Moncton, New Brunswick; several other cities recorded more than 100 cm of snow; traffic was brought to a standstill; many stranded motorists had to be rescued, and many schools and businesses throughout the Maritimes were closed in the aftermath.",0,0,0,0,0,2/4/1992 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1993 0:00,"Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Eastern Canada,3/15/1993 0:00,"Eastern Canada off Cape Sable Island NS, March 15, 1993. March blizzards caused by a mid-latitude cyclone which moved up the North American eastern seaboard eventually claimed more than 240 lives; at one point over 3 million people were left without electricity. On the 15th, the storm caused the sinking of the 177 metre Liberian-registered freighter, ""Gold Bond Conveyor"". Loaded with gypsum, it sank about 200 km off Cape Sable Island in waves up to 20 m and winds gusting up to 120 km/h, after setting sail from Halifax, Nova Scotia, despite warnings of hurricane-force winds.  Most crew members were from Hong Kong; there were no survivors of the 33 aboard.",33,0,0,19866000,1392476.6,3/15/1993 0:00,,,,,,19866000,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,45 miles southwest of the islands of Saint-Pierre-et-Miquelon,1/16/1998 0:00,"45 miles southwest of the islands of Saint-Pierre-et-Miquelon, January 16, 1998.  The bulk carrier ""Flare"" broke in 2 due to severe weather conditions during its trip from Rotterdam to Montreal.  21 members of the 25-member crew died in the accident.",21,0,0,5109358,335773.8,1/16/1998 0:00,0,0,5109358,,,,,0,0
Incident,Technology,Infrastructure failure,Communications,"Across Toronto, Canada, and internationally",7/16/1999 0:00,"Across Toronto, Canada, and internationally, July 16, 1999.  During regular maintenance at the Bell Canada Switching Station, a repairman dropped a wrench into high-voltage equipment, resulting in a fire that disabled the switch and brought down at least 113,000 telecommunications lines across Toronto, Canada, and internationally.  Confusion between various technical and procedural fail-safes prevented service from being restored for about 12 hours.",0,2,0,,,7/16/1999 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Maritime Provinces,9/23/1999 0:00,"Maritime Provinces, September 23, 1999.  Record 1-day rainfall was caused by the remnants of tropical storm Harvey and Hurricane Gert.  Oxford NS was flooded when 2 nearby rivers overtopped their banks, after receiving 200 mm of rain in one day.  A seniors residence of 30 people and 15 families were evacuated from Moncton NB which received 160 mm of rain.  A number of bridges and roads were washed out in the region. In Newfoundland, 10 m whitecaps smashed the breakwater to pieces at Lord's Cove, and destroyed a number of buildings. Wharves were also destroyed in St. Brides, and Plancentia Bay NF.",0,0,90,4912305,317264,9/23/1999 0:00,1834365,3077940,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Maritime Provinces,1/17/2000 0:00,"Maritime Provinces, January 17-22, 2000.  An intense storm hit the maritimes for 6 days. Up to 70 centimetres of snow fell in some areas and temperatures plummeted to Â–40 degrees Centigrade with the wind chill.  Flooding caused extensive damage to private property and public infrastructure in Newfoundland, New Brunswick, and P.E.I. Wind gusts hit 120 kilometres per hour.  Cape Breton, Shediac, New Brunswick and P.E.I were hit especially hard by the storm, as well as areas along the Gulf of St. Laurence and the Northumberland Strait in New Brunswick.",0,0,216,6621462,416444.2,1/22/2000 0:00,3059340,2773532,301806,486784,,,,0,0
Incident,Conflict,Hijacking,Air,"New York City, NY, U.S.A.",9/11/2001 0:00,"New York City, NY, U.S.A., September 11, 2001. Twenty-four Canadians were killed when terrorists crashed two commercial airliners into the towers of the World Trade Center. One Canadian was aboard each of the two hijacked aircraft. The other 22 Canadians were among the 2 823 people killed in the subsequent collapse of both towers.",24,,,0,0,9/11/2001 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Southern coast of Newfoundland,9/19/2001 0:00,"Southern coast of Newfoundland, September 19, 2001. Tropical Storm ""Gabrielle"". High tides, strong winds and record-breaking precipitation hit the southern coast of Newfoundland, particularly the Avalon Peninsula. Provincial, municipal, and private properties were greatly affected. Basements, streets, parks, schools and shopping malls were flooded. Power outages affected most of the province. Conflict arose between St-John's residents and the municipality over the inadequate sewer system; the sewer system could not manage the runoff.",0,0,0,11743003,720429.6,9/19/2001 0:00,4353450,1668893,,,,5720660,,0,0
Disaster,Natural,Meteorological - Hydrological,Avalanche,Western Canada,1/21/2003 0:00,"Golden, Fernie, Valemount, Nelson, Revelstoke, Durrand Glacier BC and Rogers Pass, Connaught Creek Valley, Okotoks, Mt. Terry Fox, Lake Louise, Rocky Mountains AB, January – April 2003.  Deadly avalanche season since 1970 claimed 30 lives in Western Canada.  The higher death toll was in part due to unusual weather patterns brought by an El Nino winter.",30,,2,,,1/21/2003 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,West Coast of Newfoundland,3/31/2003 0:00,"West Coast of Newfoundland, March 31, 2003. Western Newfoundland experienced flooding as a result of both heavy rain and mild temperatures. Some of the communities affected include: Codroy Valley, Cox's Cove, and Corner Brook. These communities faced washed out roads as well as damaged water and sewage systems. A landslide on the Trans-Canada Highway restricted access between Gallants and George's Lake. See Nova Scotia and Prince Edward Island entries for more information on this event.",0,,,6934707,404749.4,3/31/2003 0:00,6934707,,,,,,,0,0
Disaster,Natural,Geological,Tsunami,East Indian Ocean,12/26/2004 0:00,"East Indian Ocean, December 26, 2004.  A powerful 9.1 magnitude earthquake occured at 07:59 local time 100 kilometres west of Sumatra. The earthquake triggered a massive tsunamis in the East Indian Ocean. Several areas were hit by the tsunamis including Indonesia, Sri Lanka, southern India, Thailand, Malaysia, the Maldives, Bangladesh, Burma, Mauritius, Somalia, Kenya, Seychelles and Tanzania. Due to its proximity to the earthquake epicentre, Indonesia was the hardest hit by the tsunami. It is estimated that the tsunami travelled 500 km/h across the Indian Ocean before making landfall with Indonesia. Foreign Affairs Canada Consular Operations confirmed the deaths of 15 Canadians as well as 6 others that went missing, including 5 others that are presumed dead. It is estimated that the total death toll of this event is 280,931. In Indonesia alone, 167, 540 people died from the tsunami. The earthquake and subsequent tsunami affected approximately five million people aroung the world and 1.7 million people were displaced from their homes. In addition, hundreds of thousands of homes and business were destroyed.",20,,,0,0,12/26/2004 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Newfoundland,3/30/2005 0:00,"Newfoundland, March 30-31, 2005. Heavy snow affected most of Newfoundland (excluding Labrador) while the Avalon and Burin peninsulas experienced rain. Gander saw 62 cm of snow and Grand Falls-Windsor was hit by 60 cm in one day. The Burin community of Salt Pond was plagued by over 150 mm of rain, St.Lawrence by over 80 mm, and St.John's saw 60 mm of rain. Bonavista Bay and Hare Bay were also affected.",0,,0,388288,21773.2,3/31/2005 0:00,388288,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,"Across Canada, largely in the Greater Toronto area",3/13/2003 0:00,"Across Canada, 13 March to August, 2003. Severe acute respiratory syndrome (SARS) emerged in November 2002 in Asia. It is described as a droplet-spread viral illness. The outbreak affected Toronto and the Greater Toronto Area the most. According to the Government of Ontario, there were 375 probable and suspected cases and 44 deaths.",44,375,0,,,8/31/2003 0:00,,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,8/1/2008 0:00,"Across Canada, August 1, 2008. Listeria monocytogenes spread by contaminated Maple Leaf food products produced at its Bartor Road plant. The outbreak occurred in August 2008. A segment of the population that is most vulnerable became exposed. 57 people became seriously ill and 22 people died.",22,57,0,0,0,8/1/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Maritime provinces,1/21/2000 0:00,"Maritime provinces, January 21, 2000. A 1.36 m surge occurred as an intense storm passed 55 km east of Charlottetown bringing 70 km/h sustained winds to the region. The peak surge coincided with high tide resulting in a water level of 4.23 m above chart datum, the highest water level recorded to date at this location. Significant flooding occurred inundating more than 460 properties including gas stations and a power generating plant and damaging wharves.",0,0,0,216978,13646.4,1/21/2000 0:00,216978,,,,,,,0,0
Disaster,Natural,Biological,Pandemic,Across Canada,4/1/2009 0:00,"Across Canada, April 1, 2009 to February 1, 2010. A new strain of pandemic influenza. The first cases were seen in Mexico and it spread quickly across the globe. In Canada, there were 8,582 hospitalizations, 1,448 cases admitted to the intensive care unit (ICU) and 425 deaths.",425,8582,0,0,0,2/1/2010 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Volcano,"Eyjafjallajökull glacier, Iceland",4/14/2010 0:00,"Eyjafjallajökull glacier, Iceland, April 14, 2010. A volcanic eruption occurred under the Eyjafjallajökull glacier, in the south of Iceland approximately at 04:00 local time on April 14. The eruption resulted in large volumes of volcanic ash being spewed into the air. As a result, flights in and out of Europe were greatly affected with large numbers of cancellations. Foreign Affairs and International Trade reported being contacted by 1,200 requests from affected Canadians. Transport Canada reported over 200 departures and arrivals of transatlantic flights which were cancelled during the interval.",0,0,1200,0,0,4/14/2010 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Newfoundland,8/1/2007 0:00,"Newfoundland, August 1, 2007. Post-Tropic storm Chantel tracked over through the Maritimes reaching Newfoundland’s Avalon Peninsula on August 1. Chanel dumped up to 200 mm of rain and produced wind gusts of up to 111 km/h in the region. The intense rainfall broke records. St. John’s West and Mount Pearl reported the heaviest one-hour rainfall, which included 43 mm and 49 mm respectively. Ten communities in Newfoundland were isolated due to flooding and declared a state of emergency. Numerous roads and bridges were washed out because of the torrential rain.",0,0,0,0,0,8/1/2007 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Martime Provinces,12/4/2007 0:00,"Maritime provinces, December 4, 2007. A powerful storm that dumped up to 40 cm of wet, heavy snow on parts of Atlantic Canada knocked out power in all four provinces leaving approximately 50,000 people without electricity.",0,0,0,0,0,12/4/2007 0:00,,,,,,,,50000,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Maritime Provinces,9/28/2008 0:00,"Maritime Provinces, September 28, 2008. Tropical storm Kyle, made landfall with Atlantic Canada between the Yarmouth and Digby counties in western Nova Scotia at 21:30 ADT on September 28. Kyle covered more than 1000 kilometres as it moved north-northeast from the United States before reaching Canada as a Category 1 storm with wind gusts of 120 km/h. The storm brought heavy rain to New Brunswick and Quebec, with parts of New Brunswick receiving up to 72 mm of rain. Power outages were reported in all three Maritime provinces. Nova Scotia had over 40,000 customers (approximately 120,000 individuals) lost power. The storm also produced an estimated storm surge of 80 cm.",0,0,0,0,0,9/28/2008 0:00,,,,,,,,120000,0
Disaster,Natural,Geological,Earthquake,"Port-au-Prince, Haiti",1/12/2010 0:00,"Port-au-Prince, Haiti, January 12, 2010. At 16:53 local time, a 7.0 magnitude earthquake occurred off the coast of Haiti, approximately 16 kilometres from the capital of Port-au-Prince.  Upwards of 50 aftershocks were felt since January 12, including a 6.1 magnitude on January 20.  In the aftermath 1,911 Canadians in Haiti were located by International and Foreign Affairs and out of that number 58 died and 31 were injured.  A total of 4,620 Canadians and Haitians were evacuated to Canada over the course of 49 flights, including 203 children who were united with their families in Canada.  Expert personnel from DFAIT, CIDA, CIC, CBSA, CSC, and the RCMP were dispatched to aid in the response.",58,31,4620,750000000,38626609.4,1/12/2010 0:00,,,,,750000000,,,0,7
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1924 0:00,"Prairie Provinces, 1924. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1924 0:00,,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,3/1/1927 0:00,"Across Canada, Mar-Sept 1927.  Typhoid. The Canadian Red Cross assisted the people of Canada by donating medical supplies and money to help the victims.  Unknown number of deaths.",,0,0,,,9/1/1927 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Newfoundland,8/24/1927 0:00,"Newfoundland, August 24-25, 1927.  A hurricane swept through Atlantic Canada washing out roads, filling basements, ans swamping boats.  In Newfoundland, 56 people died at sea.",56,0,0,,,8/25/1927 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1929 0:00,"Prairie Provinces, 1929. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1929 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,St. Lawrence River,6/26/1930 0:00,"St. Lawrence River, June 26, 1930. Lightning struck the bow of the ""John B. King"" drillship in the St. Lawrence River, igniting a store of dynamite aboard.  The explosion killed 30 people and injured 11 others.",30,11,0,,,6/26/1930 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1931 0:00,"Prairie Provinces, 1931-1938. The ""dirty thirties""; dust storms, plant rust, heat waves, grasshopper plagues and water shortages plagued western Canada for almost a decade causing immense social and economic hardship. It is estimated that 250,000 people left the area. For related deaths, see Heatwave of 1936 (1936.005).",0,0,0,0,0,1/1/1938 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Newfoundland,8/25/1935 0:00,"Newfoundland, August 25, 1935. Villages destroyed; 50 people left dead in the wake of a severe storm.",50,0,0,,,8/25/1935 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Across Canada,7/5/1936 0:00,"Across Canada, July 5-17, 1936. A two-week heat wave starting on July 5, 1936; greater than 32°C in western and central Canada; from southern Saskatchewan to the Ottawa Valley temperatures were higher than 32°C for one and a half weeks; St. Albert, Manitoba reached 44.4°C and Atikokan, Ontario hit 42.2°C; 1,180 people died across Canada; a severe drought also occurred in 1936 (see 1931.002);  120.7 sq km of Saskatchewan timberland burned (see 1936.004).",1180,0,0,,,7/17/1936 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Prairie Provinces,3/14/1941 0:00,"Prairie Provinces, March 14, 1941. A severe blizzard producing a storm called an ""Alberta Low"" lasted 7 hours and produced winds exceeding 100 km/h; the storm caused 76 deaths in the southern parts of the Prairie provinces and the northern U.S.",76,0,0,0,0,3/14/1941 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,"Newfoundland, off coast",1/1/1942 0:00,"Newfoundland, 1942. 203 dead; three U.S. navy ships, the destroyers ""Wilkes"" and ""Truxton"" and the supply ship ""Pollux"", went off course during a blizzard and crashed into the rocks near St. Lawrence at the entrance to Placentia Bay: the ships had been unable to check their position as they had been ordered to keep radio silence: the ""Wilkes"" floated off the rocks but the other two ships were pounded to pieces: the rescue efforts of the villagers of St. Lawrence saved the lives of many sailors: as a gesture of gratitude, the U.S. government constructed a hospital in the town which was closed down by the Newfoundland government in 1989.",203,0,0,,,1/1/1942 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Prairie Provinces,1/30/1947 0:00,"Prairie Provinces, January 30 - February 8, 1947. A blizzard raged for 10 days from Winnipeg to Calgary; the railway called it the worst storm in Canadian rail history; one train was buried in a snow drift 1 km long and 8 m deep.",0,0,0,0,0,2/8/1947 0:00,,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,1/1/1953 0:00,"Across Canada, 1953. 481 dead; polio affected more than 8000 Canadians.",481,8000,0,,,12/31/1953 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1958 0:00,"Prairie Provinces, 1958. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts were reported.",0,0,0,0,0,1/1/1958 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1959 0:00,"Prairie Provinces, 1959. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1959 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Maritime Provinces,6/20/1959 0:00,"Maritime Provinces, June 20, 1959. 33 people, mostly lobster fishermen, were killed as hurricane gales, reaching 120 km/h, swept across the Maritimes; caused considerable property damage. Twenty-two fishing boats were destroyed off Escuminac.",33,0,0,0,0,6/20/1959 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1960 0:00,"Prairie Provinces, 1960. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1960 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1961 0:00,"Prairie Provinces, 1961. One of the worst agricultural droughts to occur in the Prairies; among the most severe and widespread surface water droughts ever to occur on the Prairies; total net farm income dropped by 48% compared to 1960.  The worst drought year this century for prairie wheat.",0,0,0,0,0,1/1/1961 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1962 0:00,"Prairie Provinces, 1962. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1962 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1963 0:00,"Prairie Provinces, 1963. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1963 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1964 0:00,"Prairie Provinces, 1964. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1964 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Maritime Provinces,12/1/1964 0:00,"Maritime Provinces, December 1-2, 1964. A severe snowstorm hit the Maritimes, with gales reaching gust speeds of 160 km/h.  Three fishing boats, including two large draggers, were lost in the storm, accounting for 23 deaths and 8 reported injuries.",23,8,0,0,0,12/2/1964 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Prairies,12/15/1964 0:00,"Southern Prairies, December 15, 1964. Referred to as the ""Great Blizzard"", it produced heavy snows, 90 km/h winds, -34°C temperatures; three people froze to death and thousands of animals died.",3,0,0,,,12/15/1964 0:00,,,,,,,,0,0
Incident,Technology,Transportation accident,Air,"Toyko, Japan",3/4/1966 0:00,"Tokyo Japan, March 4, 1966: 8 survivors: a CP air DC-8 caught its wheels in the approach lights while landing in dense fog at Tokyo International Airport and smashed into a retaining wall.",64,0,0,,,3/4/1966 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1967 0:00,"Prairie Provinces, 1967. Cereal crop drought occurred in parts of the Prairies; extensive drought from the Peace River, Alberta, to southern Manitoba.",0,0,0,0,0,1/1/1967 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1968 0:00,"Prairie Provinces, 1968. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1968 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Maritime Provinces,10/21/1968 0:00,"Maritime Provinces, October 21, 1968. Remnants of Hurricane ""Gladys"" passed over Cape Breton Island, killing one person and producing rainfall of 45-90 mm; the storm caused flooding in New Brunswick and Nova Scotia.",1,0,0,0,0,10/21/1968 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1969 0:00,"Prairie Provinces, 1969. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1969 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Newfoundland,5/19/1969 0:00,"NF, May 19-21, 1969.  Widespread flooding caused by heavy rainfall and snowmelt; railway traffic disrupted, highways washed out, homes and buildings inundated. Several municipal agencies assisted in the flood relief.",0,0,0,,,5/21/1969 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Western Prairies,7/23/1971 0:00,"Western Prairies, July 23, 1971. Heavy hail damage extended over 500 km.",0,0,0,,,7/23/1971 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1973 0:00,"Prairie Provinces, 1973. Severe and widespread surface water droughts reported on the Prairies, as well as winterkill in forage crops in British Columbia interior.",0,0,0,0,0,1/1/1973 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1974 0:00,"Prairie Provinces, 1974. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1974 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Newfoundland,5/15/1974 0:00,"Newfoundland, May-July 1974. Severe ice conditions in Newfoundland resulted in losses in income and gear to fishermen. ",0,0,0,5151752,1179790.5,7/31/1974 0:00,3540871,1610881,,,,,,0,0
