La Baie,QC
Sainte-Anne des Plaines,QC
St.-Amable,QC
Western,AB
Woodstock,NB
Northumberland Strait (NS and,PE
Southern,ON
Joe Rich and Southern,BC
Oka,QC
Madeleine Islands,QC
Bugaboo Glacier Provincial Park,BC
Notre-Dame de Pierreville,QC
Chaudière River,QC
Niverville,MB
Betsiamites Ragueneau et Baie-Comeau,QC
Red Deer,AB
St. Lazare,MB
Off Cape Beale,BC
Kinsella,AB
Southern,NB
Maskinongé,QC
Jarvis,ON
Near the North Pole,NU
Canso,NS
Vernon,BC
Grand Coulee,SK
Central,ON
Haines,AB
Lethbridge,AB
Corunna,ON
Montréal,QC
Elmira,ON
Port au Choix,NL
Peace River,AB
Sainte-Brigitte-de-Laval about 40 km north of Québec,QC
Port-aux-Basques,NL
Hay River,NT
Plymouth,NS
Attawapiskat,ON
Longlac,ON
Prairies Provinces and,ON
Oakville,MB
,YT
Yellowknife,NT
Avalon and Burin Peninsulas and Bonavista Trinity and Conception Bays,NL
St. John\'s,NL
,PE
Upper Saint John River Valley,NB
Shubenacadie,NS
,SK
,QC
Swan River,MB
Truro,NS
Windsor,ON
Quebec and,ON
Kirkland Lake,ON
,AB
Montreal and area,QC
Plaster Rock NB and Lower St. Lawrence Region,QC
Southern,MB
Sydney,NS
Southwestern,MB
Aylmer,QC
Salmon Arm,BC
Avalon area of,NL
Poplar Bay,AB
Hervey Junction,QC
Blanc Sablon,QC
North Central,SK
Western,MB
Southeastern,BC
Sahtu Region of the,NT
Burin Peninsula,NL
Hamilton,ON
Sunny Valley,AB
Grande Prairie,AB
South Dumfries,ON
Flat Bay,NL
Grey County Wellington and Dufferin County,ON
Timmins and Dufferin County,ON
Atikokan,ON
Red River Souris River Assiniboine River and Pembina River,MB
Lesser Slave Lake area,AB
Nechako River,BC
Southwest,AB
Bay of Fundy,NB
Durham,ON
Southern,BC
South-Central,SK
Ontario and,QC
Assiniboine Red and Winnipeg Rivers,MB
Timmins,ON
Northwest of Matagami,QC
Northwest,ON
Iroquois Falls Kirkland Lake Timmins areas,ON
Hummingbird Creek,BC
Les Éboulements,QC
Wood Buffalo National Park,AB
Ontario,QC
Saint John River,NB
Kangiqsualujjuaq,QC
Eastern,ON
Swan Hills,AB
Northern,ON
Portage la Prairie,MB
Tibbet Lake,NT
Greater Vancouver Area Southern,BC
Peggy\'s Cove,NS
Barrie,ON
Taylor,BC
Terrace,BC
East of Lake Winnipeg,MB
Melita,MB
Thamesville,ON
La Ronge,SK
Beardmore,ON
Burwash Landing,YT
Kenora,ON
Badger,NL
Clearwater,AB
Drummondville,QC
Balmoral and Val d\'Amour areas in Restigouche County,NB
Vancouver,BC
Little Saskatchewan First Nation Reserve,MB
Glacier National Park,BC
St-Hilaire,QC
Passmore,BC
Pine Lake,AB
Chetwynd,BC
Walkerton,ON
Vanguard,SK
Eastern and Northern Coastline of,NB
Peace River area,BC
Morley Chapple Dawson Emo Lake of the Woods La Vallee Rainy River Fort Frances,ON
Northeast and Central,BC
Brookdale,MB
Notre-Dame-du-Lac,QC
Northern,AB
Montreal Lake,SK
Attawapiskat First Nation,ON
Municipalities of Ignace Fort Frances Rainy River Alberton Atikokan Chapple Dawson Emo La Valle Lake of the Woods Morley Machin; Township of Sioux-Narrows - Nestor Falls,ON
Southeast,MB
Kingsville,ON
Peerless Lake Trout Lake,AB
Turnor Lake,SK
Hawes/Patuanak,SK
Crutwell Dillon Hatchett Lake Pelican Narrows Deschambeault Wahpeton First Nation Nordell Peter Pond,SK
Nemiscau region near James Bay,QC
Near community of Sheshatshui and town of North West River,NL
Kee-Way-Win FN; Townships of Terrace Bay and Schrieber; Village of Rossport; Pays Plat FN; Deer Lake FN,ON
Brantford,ON
Tyendinaga Township First Nation,ON
Oxford and Truro,NS
,MB
Eastern Passage Cole Harbour,NS
Southeastern British Columbia and Southwestern,AB
The Bois-Francs Chaudière-Appalaches Beauce l\'Outaouais Lanaudière and Abitibi-Témiscamingue regions,QC
,ON
Halifax NS and Charlottetown,PE
Vancouver Island and Southwestern,BC
South Central,MB
The Pas,MB
Estevan,SK
Edmundston,NB
Kings County,PE
North Vancouver,BC
Kashechewan,ON
Fort Good Hope,NT
Bridgewater,NS
Chisasibi,QC
Chibougamau and James Bay,QC
Cumberland House Cree First Nation,SK
Kelowna,BC
Stephenville,NL
Abbotsford,BC
Glovertown,NL
Delta,BC
Red Earth,SK
Slocan River,BC
Mistissini,QC
Aklavik,NT
Tumbler Ridge,BC
Nordegg,AB
Cariboo-Chilcotin,BC
Galiano Island,BC
Boisbriand,QC
Amherstburg,ON
Sainte-Anne-des-Plaines,QC
Saint-Joseph et Vallée,QC
Russell,ON
South Coast and Lower Mainland,BC
Maple Ridge,BC
Selkirk,MB
Red Earth First Nation,SK
Gatineau,QC
Fishing Lake,SK
Bellefleur,NB
Sept-Îles,QC
Terrace Smithers & Mount Currie,BC
Happy Valley - Goose Bay,NL
Dartmouth,NS
Elie,MB
South Indian Lake,MB
Kootenay,BC
Natuashish,NL
Gaspé,QC
Matane,QC
Prince George,BC
Saint John,NB
Port Bruce,ON
,NB
Belleville,ON
Paddockwood,SK
Trent Hills,ON
Albany River,ON
James Bay,ON
Newbrook,AB
Pukatawagan,MB
Norway House and Sherridon,MB
High River,AB
Huntingdon,QC
Montérégie and Eastern Townships,QC
Halifax,NS
Lanaudière,QC
Northern,SK
Deschambault Lake,SK
Daniels Harbour,NL
La Tuque,QC
Zama,AB
Kingston,ON
Northeastern,SK
White Rock,BC
East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood Fernie and surrounding areas,BC
Baie Verte Peninsula,NL
Halifax and Lunenburg,NS
Peninsulas of Avalon Burin and Bonavista,NL
Municipalities of Pipestone Sifton Cameron White water Morton Riverside Turtle Mountain Strathcona and Argyle and the Whiteshell Provincial Park,MB
Pangnirtung,NU
Queens County,PE
Colchester Pictou Antigonish Inverness Victoria Cumberland and Halifax,NS
Gander Hare Bay and Swift Current,NL
South-Central,MB
Greater Vancouver and Fraser Valley,BC
Khyex River,BC
Calgary Edmonton St. Albert the town of Stony Plain Parkland County Two Hills County Kneehill County Camrose and the municipal districts of Rocky View and Bighorn,AB
Rock Creek and Henderson Corner,YT
Wemotaci reserve and La Tuque,QC
Kelowna Kamloops and Cariboo,BC
Ottawa Toronto and Windsor,ON
Tuktoyaktuk and Mackenzie Delta,NT
Lorette River Quebec,QC
Toronto Windsor Vaughan and Newmarket,ON
Notre-Dame-des-Prairies,QC
Hamilton and Toronto,ON
Montreal Alma La Tuque and Baie-Saint-Paul,QC
Saint John Miramichi and Restigouche River,NB
Val-des-Bois and Gracefield,QC
Déléage and Mont-Laurier,QC
Winnipeg and Steinbach,MB
Cranberry Portage,MB
Nova Scotia and,NB
Meat Cove,NS
Yarmouth County,NS
Baie-Verte and Port Elgin,NB
Lambton County,ON
Midland,ON
Across Canada concentrated in Saskatchewan and,AB
Leamington,ON
North Battleford,SK
,NL
Southern,SK
Southeast,YT
Vancouver Fraser Valley and the Greater Vancouver Regional Districts,BC
Merville and Lang,BC
Kicking Horse Pass,AB
Winisk,ON
North-central,AB
Southcentral,QC
County of Thorhild,AB
Britannia Beach,BC
Perth-Andover,NB
Harrow Kent Essex Leamington counties,ON
Comox,BC
Glengarry Hospital Victoria,BC
Chapleau,ON
Saguenay River Valley,QC
Montreal and Mauricie Region,QC
Gaspé and Bonaventure,QC
Cross Lake Seymourville,MB
Haileybury,ON
Roseau River First Nation Sioux Falls Peguis First Nation St. Andrews St. Clements and Selkirk,MB
Echo Harbour,BC
Dawson,YT
Rideau Chaudière and Quyon Rivers,QC
Pike Lake,SK
Coalmont,BC
Liverpool,NS
Capreol,ON
Crerar,ON
New Brunswick and Eastern,QC
Baffin Bay,NU
Plaster Rock,NB
Moose River,NS
Louiseville,QC
St-Gregoire-de-Montmercy,QC
Rainy River and Dance Township,ON
Sydney Mines Cape Breton,NS
Great Lakes: Lake,ON
Gogama,ON
Burin Peninsula St. John\'s and Little St. Lawrence,NL
Charlottetown,PE
Almonte,ON
Aldershot,ON
Saint-Donat,QC
Windsor to Tecumseh,ON
Okanagan Valley,BC
Elgin,NB
Bristol,NB
Dugald,MB
Red Deer River,AB
Mississagi,ON
Fraser River,BC
Off Queen Charlotte Islands,BC
Saint-Joachim,QC
Rimouski and Cabano,QC
Canoe River,BC
Bow River,BC
Sumas and Chilliwack,BC
Coniston,ON
Stephenville Crossing Summerside,NL
Eastend,SK
Lake Superior,ON
Central,AB
White Point Beach,NS
Moose Jaw,SK
Lake Louise,AB
Nicolet,QC
Springhill,NS
Mounte Slesse,BC
Peace River,BC
St. Lawrence,NL
Murdochville,QC
Thetford Mines,QC
Prince Rupert,BC
Amaranth,MB
Lanark,ON
Revelstoke,BC
The Battery St. John\'s Harbour,NL
South Central,SK
Chedabucto Bay,NS
Southern and Central,ON
Kootenay Region,BC
McBride,BC
Toulnustouc River,QC
Southeastern,NB
West coast,BC
Hay River Township south shore of Great Slave Lake,NT
Sainte-Thérèse-de-Blainville,QC
Saint-Joachim-de-Tourelle,QC
Ramsey Arm,BC
Port Alberni,BC
Hope,BC
Ocean Falls,BC
Granduc Mine,BC
Lasalle,QC
Northeast of Vancouver,BC
Lake Huron,ON
St. Lawrence counties of,QC
Baie-Comeau,QC
Gander,NL
Crowsnest Pass,BC
Huron and Perth counties,ON
Camp Creek,BC
Lambeth,ON
Southwestern and Southern,ON
Dunnville,ON
Porteau,BC
Qu\'Appelle River Basin,SK
Iroquois,NB
Sudbury Lively Coppercliff and Field,ON
Saint-Jean,QC
Fraser Canyon,BC
Saint-Jean-Vianney,QC
Maniwaki Déléage Egan South Region of Outaouais,QC
Kootenay region and Vancouver area,BC
Victoriaville,QC
Southwestern,QC
Richelieu River,QC
Corner Brook,NL
Smoky and Peace River Basins,AB
Harbour Breton,NL
Cedoux,SK
Newfoundland,PE
Maniwaki,QC
Central and Northern,AB
Central and Southern,MB
Cambridge/Waterloo Region,ON
Rae Point,NT
Saint John Sussex Corner and Chaleur Bay,NB
Vancouver Island,BC
Southwestern,AB
Devastation Glacier,BC
Saint Bonaventure,QC
Îles-de-la-Madeleine,QC
Region of Quebec and Trois-Rivières,QC
Pincher Creek,AB
Western Central and Northern,NS
Niagara Peninsula,ON
Assiniboine River,MB
Fundy Isles,NB
Cranbrook,BC
Moncton,NB
New Brunswick and,QC
Petty Harbour,NL
Fort McMurray Rainbow Lake,AB
St-Eustache,QC
Eastman,QC
Milk River and area,AB
,NT
Millwoods,AB
Golden,BC
Glace Bay,NS
North York,ON
Red River region,MB
Chapais region of Chibougamau,QC
Woodstock,ON
Drumheller,AB
Southern,QC
Mississauga,ON
Belmoral Mine Val d\'Or,QC
Webb,SK
Red Lake,ON
Gaspésie Region,QC
Southwest,BC
Squamish River,BC
Sussex,NB
Southeastern,ON
Westfield and Grand Bay,NB
Squamish,BC
Medonte,ON
Greater Vancouver,BC
Labrador,NL
Lodgepole,AB
Orillia,ON
Sherbrooke,QC
Dunsmuir Vancouver Island,BC
Montreal (Sainte-Rose),QC
Curling,NL
North shore of St. Lawrence River and Yamachiche Maskinonge River basins,QC
Reeces Corners,ON
upper Richelieu River Montréal,QC
Cape Breton Island,NS
Gaspésie,QC
Avalon Peninsula,NL
Fort Frances,ON
Northeast,SK
Grande Prairie and Drayton Valley,AB
Lower Fraser River Valley,BC
South Central and Western,MB
Chesley,ON
London,ON
Smiths Falls,ON
Pemberton area,BC
West Coast of,BC
Chatham,ON
Stoney Creek,ON
Hinton,AB
Lake Erie,ON
Hopeville to Barrie,ON
Lake Huron and Lake Erie,ON
East Central,BC
Riviere Chaudière,QC
Valrita-Harty,ON
400 km off Cape Race,NL
Blue River,BC
Vancouver and Fraser,BC
Assiniboine Roseau and Red Rivers,MB
Slave Lake,AB
Montérégie,QC
Hall Lake,SK
Wollaston Lake,SK
Brandon,MB
Weyburn and Estavan,SK
Yarmouth and Halifax,NS
Wolfe Lake and Moncton,NB
Mishkeegogamang Ojibway First Nation (New Osnaburgh),ON
Eckville Lacombe Paddle River Fort Vermilion and Peace River,AB
Resolute Bay,NU
Goderich,ON
Kingcome Inlet and Bella Coola,BC
Duncan and North Cowichan (Vancouver Island),BC
Fort Albany and Kashechewan First Nations,ON
Mackenzie County,AB
Province of,QC
Sheshatshiu,NL
Vita,MB
Sicamous,BC
Peachland,BC
Thunder Bay,ON
Lac-Mégantic,QC
Kasabonika Lake First Nation,ON
Gainsford,AB
Northwest River and Sheshatshiu,NL
Island Lake and Garden Hill,MB
Lethbridge and Coalhurst,AB
Kashechewan and Fort Albany,ON
Sandy Lake First Nation,ON
Southeast,BC
Burlington,ON
Quesnel Lake,BC
L’Isle-Verte,QC
Saint-Jean-sur-Richelieu,QC
Cumberland House,SK
Quebec New Brunswick Nova Scotia and,PE
Gogama and Mattagami First Nation,ON
Fredericton,NB
Lower Mainland,BC
Long Lake,AB
Chestermere,AB
Windsor and Tecumseh,ON
Nova Scotia and,PE
Christmas Island,NS
North Saskatchewan River,SK
Ontario Quebec New Brunswick Nove Scotia,PE
Pikangikum First Nation,ON
Horton,ON
Kashechewan First Nation,ON
Nova Scotia,PE
Easterville and Chemawawin,MB
Long Plain First Nation,MB
West Kelowna,BC
Burns Bog,BC
Seaforth Channel,BC
Northeastern,BC
Alberta Saskatchewan Manitoba and,ON
Paul First Nation,AB
Fort McMurray,AB
